source_row,basin_index,downstream_anchor,upstream_ids_raw,directions_raw,parsed_direction_count,matched_direction_ids,unmatched_direction_tokens,defaulted_to_top,reason_if_defaulted
139,2,J105.4,"J105.2, J105.3, J105.1","J105.1 TOP, J105.2 RIGHT, J105.3 LEFT",3,J_105_1|J_105_2|J_105_3,,false,
140,2,J105.3,"IN124.5, IN124.6","IN124.5 RIGHT, IN124.6 LEFT",2,IN_124_5|IN_124_6,,false,
141,2,J105.2,"IN124.3, IN124.4","IN124.4 RIGHT, IN124.3 LEFT",2,IN_124_4|IN_124_3,,false,
142,2,J105.1,"J105, IN124.2","IN124.2 RIGHT, J105 LEFT",2,IN_124_2|J_105,,false,
143,2,J105,"IN124, IN124.1","IN124 RIGHT, IN124.1 LEFT",2,IN_124|IN_124_1,,false,
144,2,J104,"J103.4, J103.5","J103.4 TOP, J103.5 LEFT",2,J_103_4|J_103_5,,false,
145,2,J103.5,IN123.4,IN123.4 TOP,1,IN_123_4,,false,
146,2,J103.4,"IN123.2, IN123.3, J103.3","J103.3 TOP, IN123.2 LEFT, IN123.3 RIGHT",3,J_103_3|IN_123_2|IN_123_3,,false,
147,2,J103.3,"J102.4, J103.2","J103.2 LEFT, J102.4 TOP",2,J_103_2|J_102_4,,false,
148,2,J103.2,"J103.1, J103","J103 TOP, J103.1 RIGHT",2,J_103|J_103_1,,false,
149,2,J103.1,"IN123, IN123.1","IN123 LEFT, IN123.1 RIGHT",2,IN_123|IN_123_1,,false,
150,2,J103,"IN122, IN122.1, IN122.2","IN122.1 LEFT, IN122.2 RIGHT, IN122 TOP",3,IN_122_1|IN_122_2|IN_122,,false,
151,2,J102.4,"J102.3, IN121","IN121 RIGHT, J102.3 TOP",2,IN_121|J_102_3,,false,
152,2,J102.3,"J102.1, J102.2","J102.1 TOP, J102.2 LEFT",2,J_102_1|J_102_2,,false,
153,2,J102.2,IN120,IN120 TOP,1,IN_120,,false,
154,2,J102.1,"IN119.2, J102","J102 TOP, IN119.2 RIGHT",2,J_102|IN_119_2,,false,
155,2,J102,"IN119, IN119.1","IN119 LEFT, IN119.1 RIGHT",2,IN_119|IN_119_1,,false,
156,2,J101.1,"IN118, IN118.1, J101","J101 TOP, IN118 LEFT, IN118.1 RIGHT",3,J_101|IN_118|IN_118_1,,false,
157,2,J101,"IN117.2, IN117.1, IN117","IN117 TOP, IN117.1 LEFT, IN117.2 RIGHT",3,IN_117|IN_117_1|IN_117_2,,false,
158,2,J100,"J99, J98","J99 RIGHT, J98 TOP",2,J_99|J_98,,false,
159,2,J99,"IN116.2, IN116.3, IN116.4","IN116.3 TOP, IN116.4 LEFT, IN116.2 RIGHT",3,IN_116_3|IN_116_4|IN_116_2,,false,
160,2,J98,"IN116.1, J97.1, J96","IN116.1 LEFT, J96 TOP, J97.1 RIGHT",3,IN_116_1|J_96|J_97_1,,false,
161,2,J97.1,"J97, IN116.01, IN116.02","IN116.02 LEFT, IN116.01 RIGHT, J97 TOP",3,IN_116_02|IN_116_01|J_97,,false,
162,2,J97,"IN116, J96.1","J96.1 LEFT, IN116 TOP",2,J_96_1|IN_116,,false,
163,2,J96.1,IN115.1,IN115.1 TOP,1,IN_115_1,,false,
164,2,J96,"IN114, IN115, J95.4","J95.4 TOP, IN114 LEFT, IN115 RIGHT",3,J_95_4|IN_114|IN_115,,false,
165,2,J95.4,"J95, J95.3","J95.3 RIGHT, J95 45 DEGREES TOP LEFT",2,J_95_3|J_95,,false,
