basin_index,from_raw,from_swmm_id,to_raw,to_swmm_id,edge_type,parsed_successfully,built_successfully,blocker_reason,direction_token_used,source_branch_logic_row
2,J105.2,J_105_2,J105.4,J_105_4,JJ,true,true,,TOP,139
2,J105.3,J_105_3,J105.4,J_105_4,JJ,true,true,,TOP,139
2,IN124.5,IN_124_5,J105.3,J_105_3,IJ,true,true,,TOP,140
2,IN124.6,IN_124_6,J105.3,J_105_3,IJ,true,true,,TOP,140
2,IN124.3,IN_124_3,J105.2,J_105_2,IJ,true,true,,TOP,141
2,IN124.4,IN_124_4,J105.2,J_105_2,IJ,true,true,,TOP,141
2,J105,J_105,J105.1,J_105_1,JJ,true,true,,TOP,142
2,IN124.2,IN_124_2,J105.1,J_105_1,IJ,true,true,,TOP,142
2,IN124,IN_124,J105,J_105,IJ,true,true,,TOP,143
2,IN124.1,IN_124_1,J105,J_105,IJ,true,true,,TOP,143
2,J103.5,J_103_5,J104,J_104,JJ,true,true,,TOP,144
2,IN123.2,IN_123_2,J103.4,J_103_4,IJ,true,true,,TOP,146
2,IN123.3,IN_123_3,J103.4,J_103_4,IJ,true,true,,TOP,146
2,J103.2,J_103_2,J103.3,J_103_3,JJ,true,true,,TOP,147
2,J103.1,J_103_1,J103.2,J_103_2,JJ,true,true,,TOP,148
2,IN123,IN_123,J103.1,J_103_1,IJ,true,true,,TOP,149
2,IN123.1,IN_123_1,J103.1,J_103_1,IJ,true,true,,TOP,149
2,IN122.1,IN_122_1,J103,J_103,IJ,true,true,,TOP,150
2,IN122.2,IN_122_2,J103,J_103,IJ,true,true,,TOP,150
2,IN121,IN_121,J102.4,J_102_4,IJ,true,true,,TOP,151
2,J102.2,J_102_2,J102.3,J_102_3,JJ,true,true,,TOP,152
2,IN119.2,IN_119_2,J102.1,J_102_1,IJ,true,true,,TOP,154
2,IN119,IN_119,J102,J_102,IJ,true,true,,TOP,155
2,IN119.1,IN_119_1,J102,J_102,IJ,true,true,,TOP,155
2,IN118,IN_118,J101.1,J_101_1,IJ,true,true,,TOP,156
2,IN118.1,IN_118_1,J101.1,J_101_1,IJ,true,true,,TOP,156
2,IN117.2,IN_117_2,J101,J_101,IJ,true,true,,TOP,157
2,IN117.1,IN_117_1,J101,J_101,IJ,true,true,,TOP,157
2,J99,J_99,J100,J_100,JJ,true,true,,TOP,158
2,IN116.2,IN_116_2,J99,J_99,IJ,true,true,,TOP,159
2,IN116.4,IN_116_4,J99,J_99,IJ,true,true,,TOP,159
2,IN116.1,IN_116_1,J98,J_98,IJ,true,true,,TOP,160
2,J97.1,J_97_1,J98,J_98,JJ,true,true,,TOP,160
2,IN116.01,IN_116_01,J97.1,J_97_1,IJ,true,true,,TOP,161
2,IN116.02,IN_116_02,J97.1,J_97_1,IJ,true,true,,TOP,161
2,J96.1,J_96_1,J97,J_97,JJ,true,true,,TOP,162
2,IN114,IN_114,J96,J_96,IJ,true,true,,TOP,164
2,IN115,IN_115,J96,J_96,IJ,true,true,,TOP,164
2,J95,J_95,J95.4,J_95_4,JJ,true,true,,TOP,165
2,J95.3,J_95_3,J95.4,J_95_4,JJ,true,true,,TOP,165
2,J95.2,J_95_2,J95.3,J_95_3,JJ,true,true,,TOP,166
2,J95.15,J_95_15,J95.2,J_95_2,JJ,true,true,,TOP,167
2,IN113,IN_113,J95.2,J_95_2,IJ,true,true,,TOP,167
2,IN112.1,IN_112_1,J95.15,J_95_15,IJ,true,true,,TOP,168
2,IN112,IN_112,J95.1,J_95_1,IJ,true,true,,TOP,169
2,J89,J_89,J95,J_95,JJ,true,true,,TOP,170
2,J94.4,J_94_4,J95,J_95,JJ,true,true,,TOP,170
2,J94.1,J_94_1,J94.4,J_94_4,JJ,true,true,,TOP,171
2,J94.2,J_94_2,J94.4,J_94_4,JJ,true,true,,TOP,171
2,J93,J_93,J94,J_94,JJ,true,true,,TOP,174
2,IN109,IN_109,J94,J_94,IJ,true,true,,TOP,174
2,IN107,IN_107,J93,J_93,IJ,true,true,,TOP,175
2,IN108,IN_108,J93,J_93,IJ,true,true,,TOP,175
2,J90.1,J_90_1,J92,J_92,JJ,true,true,,TOP,176
