basin_index,source_row,raw_id,swmm_id,rim_elev,soffit_elev,diameter_in,invert_elev,downstream_pipe_length_ft,data_complete,missing_fields,notes_applied
,509,136.4,J_136_4,397.58,,24.0,,17.0,false,AC,HYDROLOGY + manual overrides where provided
,511,136.5,J_136_5,397.58,,24.0,,353.0,false,AC,HYDROLOGY + manual overrides where provided
,512,136.6,J_136_6,398.28,,24.0,,347.0,false,AC,HYDROLOGY + manual overrides where provided
,,136.7,J_136_7,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,,136.8,J_136_8,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,520,136.9,J_136_9,395.74,,30.0,,635.0,false,AC,HYDROLOGY + manual overrides where provided
,524,137,J_137,393.32,,18.0,,219.0,false,AC,HYDROLOGY + manual overrides where provided
,526,137.1,J_137_1,391.85,,24.0,,20.0,false,AC,HYDROLOGY + manual overrides where provided
,,137.2,J_137_2,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,530,138,J_138,392.06,387.0,30.0,384.5,812.0,true,,HYDROLOGY + manual overrides where provided
,534,139,J_139,390.92,385.64,18.0,384.14,63.0,true,,HYDROLOGY + manual overrides where provided
,49,14,J_14,417.61,411.38,18.0,409.88,76.0,true,,HYDROLOGY + manual overrides where provided
,536,140,J_140,390.53,385.31,18.0,383.81,213.0,true,,HYDROLOGY + manual overrides where provided
,539,141,J_141,389.7,385.9,30.0,383.4,721.0,true,,HYDROLOGY + manual overrides where provided
,542,142,J_142,392.5,387.99,18.0,386.49,255.0,true,,HYDROLOGY + manual overrides where provided
,543,143,J_143,389.78,385.1,36.0,382.1,329.0,true,,HYDROLOGY + manual overrides where provided
,547,144,J_144,388.05,383.67,18.0,382.17,128.0,true,,HYDROLOGY + manual overrides where provided
,549,145,J_145,388.56,384.66,36.0,381.66,820.0,true,,HYDROLOGY + manual overrides where provided
,552,146,J_146,394.07,389.49,15.0,388.24,210.0,true,,HYDROLOGY + manual overrides where provided
,554,147,J_147,394.07,387.13,15.0,385.88,221.0,true,,HYDROLOGY + manual overrides where provided
,557,148,J_148,393.27,388.07,15.0,386.82,359.0,true,,HYDROLOGY + manual overrides where provided
,559,149,J_149,393.84,387.47,15.0,386.22,551.0,true,,HYDROLOGY + manual overrides where provided
,50,15,J_15,417.6,411.83,36.0,408.83,630.0,true,,HYDROLOGY + manual overrides where provided
,561,150,J_150,389.02,383.26,18.0,381.76,132.0,true,,HYDROLOGY + manual overrides where provided
,564,151,J_151,387.92,382.09,18.0,380.59,35.0,true,,HYDROLOGY + manual overrides where provided
,569,152,J_152,387.15,382.76,24.0,380.76,328.0,true,,HYDROLOGY + manual overrides where provided
,571,153,J_153,388.17,382.49,24.0,380.49,509.0,true,,HYDROLOGY + manual overrides where provided
,572,153.1,J_153_1,387.92,384.07,42.0,380.57,279.0,true,,HYDROLOGY + manual overrides where provided
,575,154,J_154,387.56,383.52,42.0,380.02,63.0,true,,HYDROLOGY + manual overrides where provided
,577,155,J_155,387.63,383.46,42.0,379.96,1084.0,true,,HYDROLOGY + manual overrides where provided
,580,156,J_156,387.19,382.18,48.0,378.18,304.0,true,,HYDROLOGY + manual overrides where provided
,54,16,J_16,416.46,412.12,18.0,410.62,649.0,true,,HYDROLOGY + manual overrides where provided
,58,17,J_17,419.56,411.04,18.0,409.54,183.0,true,,HYDROLOGY + manual overrides where provided
,59,18,J_18,416.74,410.28,24.0,408.28,230.0,true,,HYDROLOGY + manual overrides where provided
,63,19,J_19,414.36,409.28,18.0,407.78,72.0,true,,HYDROLOGY + manual overrides where provided
